English,IPA,Vietnamese
lawyer,ˈlɔyər ˈlɔɪər,luật sư
lay,lei,xếp đặt bố trí
layer,leiə,lớp
lazy,leizi,lười biếng
lead,li:d,lãnh đạo dẫn dắt; sự lãnh đạo sự hướng dẫn
leading,´li:diη,lãnh đạo dẫn đầu
leader,´li:də,người lãnh đạo lãnh tụ
leaf,li:f,lá cây lá (vàng)
league,li:g,liên minh liên hoàn
lean,li:n,nghiêng dựa ỷ vào
learn,lə:n,học nghiên cứu
least,li:st,tối thiểu; ít nhất
leather,leðə,da thuộc
leave,li:v,bỏ đi rời đi để lại
lecture,lekt∫ə(r),bài diễn thuyết bài thuyết trình bài nói chuyện
left,left,bên trái; về phía trái
leg,´leg,chân (người thú bà)
legal,ˈligəl,hợp pháp
legally,li:gзlizm,hợp pháp
lemon,´lemən,quả chanh
lend,lend,cho vay cho mượn
length,leɳθ,chiều dài độ dài
less,les,nhỏ bé ít hơn; số lượng ít hơn
lesson,lesn,bài học
let,lεt,cho phép để cho
letter,letə,thư; chữ cái mẫu tự
level,levl,trình độ cấp vị trí; bằng ngang bằng
library,laibrəri,thư viện
licence (BrE) (NAmE license),ˈlaɪsəns,bằng chứng chỉ bằng cử nhân; sự cho
license,laisзns,cấp chứng chỉ cấp bằng cho phép
lid,lid,nắp vung (xoong nồi); mi mắt (eyelid)
lie,lai,nói dối; lời nói dối sự dối trá
life,laif,đời sự sống
lift,lift,giơ lên nhấc lên; sự nâng sự nhấc lên
light,lait,ánh sáng; nhẹ nhẹ nhàng; đốt thắp sáng
lightly,´laitli,nhẹ nhàng
like,laik,giống như; thích; như
unlike,ʌn´laik,khác không giống
likely,´laikli,có thể đúng có thể xảy ra có khả năng; có thể chắc vậy
unlikely,ʌnˈlaɪkli,không thể xảy ra không chắc xảy ra
limit,limit,giới hạn ranh giới; giới hạn hạn chế
limited,ˈlɪmɪtɪd,hạn chế có giới hạn
line,lain,dây đường tuyến
link,lɪɳk,mắt xích mối liên lạc; liên kết kết nối
lip,lip,môi
liquid,likwid,chất lỏng; lỏng êm ái du dương không vững
list,list,danh sách; ghi vào danh sách
listen (to),lisn,nghe lắng nghe
literature,ˈlɪtərətʃər,văn chương văn học
litre (BrE) (NAmE liter) (abbr l),´li:tə,lít
little,lit(ə)l,nhỏ bé chút ít; không nhiều; một chút
live,liv,sống hoạt động
live,liv,sống
living,liviŋ,sống đang sống
lively,laivli,sống sinh động
load,loud,gánh nặng vật nặng; chất chở
unload,ʌn´loud,cất gánh nặng dỡ hàng
loan,ləʊn,sự vay mượn
local,ləʊk(ə)l,địa phương bộ phận cục bộ
locally,ˈloʊkəli,có tính chất địa phương cục bộ
locate,loʊˈkeɪt,xác định vị trí định vị
located,loʊˈkeɪtid,định vị
location,louk´eiʃən,vị trí sự định vị
lock,lɔk,khóa; khóa
logic,lɔdʤik,lô gic
logical,lɔdʤikəl,hợp lý hợp logic
lonely,´lounli,cô đơn bơ vơ
long,lɔɳ,dài xa; lâu
look,luk,nhìn; cái nhìn
loose,lu:s,lỏng không chặt
loosely,´lu:sli,lỏng lẻo
lord,lɔrd,Chúa vua
lorry (BrE),´lɔ:ri,xe tải
lose,lu:z,mất thua lạc
lost,lost,thua mất
loss,lɔs lɒs,sự mất sự thua
lot: a lot (of) (also lots (of)),lɒt,số lượng lớn; rất nhiều
loud,laud,to inh ỏi ầm ĩ; to lớn (nói)
loudly,laudili,ầm ĩ inh ỏi
love,lʌv,tình yêu lòng yêu thương; yêu thích
lovely,ˈlʌvli,đẹp xinh xắn có duyên
lover,´lʌvə,người yêu người tình
low,lou,thấp bé lùn
loyal,lɔiəl,trung thành trung kiên
luck,lʌk,may mắn vận may
lucky,lʌki,gặp may gặp may mắn hạnh phúc
unlucky,ʌn´lʌki,không gặp may bất hạnh
luggage (especially BrE),lʌgiʤ,hành lý
lump,lΛmp,cục tảng miếng; cái bướu
lunch,lʌntʃ,bữa ăn trưa
lung,lʌη,phổi
machine,mə'ʃi:n,máy máy móc
machinery,mə'ʃi:nəri,máy móc thiết bị
mad,mæd,điên mất trí; bực điên người
magazine,mægə'zi:n,tạp chí
magic,mæʤik,ma thuật ảo thuật; (thuộc) ma thuật ảo thuật
mail,meil,thư từ bưu kiện; gửi qua bưu điện
main,mein,chính chủ yếu trọng yếu nhất
mainly,´meinli,chính chủ yếu phần lớn
maintain,mein´tein,giữ gìn duy trì bảo vệ
major,ˈmeɪdʒər,lớn nhiều hơn trọng đại chủ yếu
majority,mə'dʒɔriti,phần lớn đa số ưu thế
make,meik,làm chế tạo; sự chế tạo
make-up,´meik¸ʌp,đồ hóa trang son phấn
male,meil,trai trống đực; con trai đàn ông con trống đực
mall (especially NAmE),mɔ:l,búa
man,mæn,con người; đàn ông
manage,mæniʤ,quản lý trông nom điều khiển
management,mænidʒmənt,sự quản lý sự trông nom sự điều khiển
manager,ˈmænɪdʒər,người quản lý giám đốc
manner,mænз,cách lối kiểu; dáng vẻ thái độ
manufacturing,¸mænju´fæktʃəriη,sự sản xuất sự chế tạo
manufacturer,¸mæni´fæktʃərə,người chế tạo người sản xuất
many,meni,nhiều
map,mæp,bản đồ
March (abbr Mar),mɑ:tʃ,tháng ba
mark,mɑ:k,dấu nhãn nhãn mác; đánh dấu ghi dấu
market,mɑ:kit,chợ thị trường
marketing,mα:kitiη,ma-kết-tinh
marriage,ˈmærɪdʒ,sự cưới xin sự kết hôn lễ cưới
marry,mæri,cưới (vợ) lấy (chồng)
married,´mærid,cưới kết hôn
mass,mæs,khối khối lượng; quần chúng đại chúng
massive,mæsiv,to lớn đồ sộ
master,mɑ:stə,chủ chủ nhân thầy giáo thạc sĩ
match,mætʃ,trận thi đấu đối thủ địch thủ; đối chọi sánh được
matching,´mætʃiη,tính địch thù thi đấu
mate,meit,bạn bạn nghề; giao phối
material,mə´tiəriəl,nguyên vật liệu; vật chất hữu hình
mathematics (also maths BrE math NAmE),mæθi'mætiks,toán học môn toán
matter,mætə,chất vật chất; có ý nghĩa có tính chất quan trọng
maximum,´mæksiməm,cực độ tối đa; trị số cực đại lượng cực đại cực độ
may modal,mei,có thể có lẽ
May,mei,tháng 5
maybe,´mei¸bi:,có thể có lẽ
mayor,mɛə,thị trưởng
me,mi:,tôi tao tớ
meal,mi:l,bữa ăn
mean,mi:n,nghĩa có nghĩa là
meaning,mi:niɳ,ý ý nghĩa
means,mi:nz,của cải tài sản phương tiện
meanwhile,miːwaɪl,trong lúc đó trong lúc ấy
measure,meʤə,đo đo lường; sự đo lường đơn vị đo lường
measurement,məʤəmənt,sự đo lường phép đo
meat,mi:t,thịt
media,´mi:diə,phương tiện truyền thông đại chúng
medical,medikə,(thuộc) y học
medicine,medisn,y học y khoa; thuốc
medium,mi:djəm,trung bình trung vừa; sự trung gian sự môi giới
meet,mi:t,gặp gặp gỡ
meeting,mi:tiɳ,cuộc mít tinh cuộc biểu tình
melt,mɛlt,tan ra chảy ra; làm tan chảy ra
member,membə,thành viên hội viên
membership,membəʃip,tư cách hội viên địa vị hội viên
memory,meməri,bộ nhớ trí nhớ kỉ niệm
mental,mentl,(thuộc) trí tuệ trí óc; mất trí
mentally,´mentəli,về mặt tinh thần
mention,menʃn,kể ra nói đến đề cập
menu,menju,thực đơn
mere,miə,chỉ là
merely,miəli,chỉ đơn thuần
mess,mes,tình trạng bừa bộn tình trạng lộn xộn; người nhếch nhác bẩn thỉu
message,ˈmɛsɪdʒ,tin nhắn thư tín điện thông báo thông điệp
metal,metl,kim loại
method,meθəd,phương pháp cách thức
metre (BrE) (NAmE meter),´mi:tə,mét
midday,´mid´dei,trưa buổi trưa
middle,midl,giữa ở giữa
midnight,midnait,nửa đêm 12h đêm
might modal,mait,qk may có thể có lẽ
mild,maɪld,nhẹ êm dịu ôn hòa
mile,mail,dặm (đo lường)
military,militəri,(thuộc) quân đội quân sự
milk,milk,sữa
milligram (BrE also milligramme) (abbr mg),´mili¸græm,mi-li-gam
millimetre (NAmE millimeter) (abbr mm),´mili¸mi:tə,mi-li-met
mind,maid,tâm trí tinh thần trí tuệ; chú ý để ý chăm sóc quan tâm
mineral,ˈmɪnərəl ˈmɪnrəl,công nhân thợ mỏ; khoáng
minimum,miniməm,tối thiểu; số lượng tối thiểu mức tối thiểu
minister,´ministə,bộ trưởng
ministry,´ministri,bộ
minor,´mainə,nhỏ hơn thứ yếu không quan trọng
minority,mai´nɔriti,phần ít thiểu số
minute,minit,phút
mirror,ˈmɪrər,gương
miss,mis,lỡ trượt; sự trượt sự thiếu vắng
Miss,mis,cô gái thiếu nữ
missing,´misiη,vắng thiếu thất lạc
mistake,mis'teik,lỗi sai lầm lỗi lầm; phạm lỗi phạm sai lầm
mistaken,mis´teiken,sai lầm hiểu lầm
mix,miks,pha trộn lẫn; sự pha trộn
mixed,mikst,lẫn lộn pha trộn
mixture,ˈmɪkstʃər,sự pha trộn sự hỗn hợp
mobile,məʊbail; 'məʊbi:l,chuyển động di động
model,ˈmɒdl,mẫu kiểu mẫu
modern,mɔdən,hiện đại tân tiến
mum,mʌm,mẹ
moment,məum(ə)nt,chốc lát
Monday (abbr Mo),mʌndi,thứ 2
money,mʌni,tiền
monitor,mɔnitə,lớp trưởng màn hình máy tính; nghe ghi phát thanh giám sát
month,mʌnθ,tháng
mood,mu:d,lối thức điệu
moon,mu:n,mặt trăng
moral,ˈmɔrəl ˈmɒrəl,(thuộc) đạo đức luân lý phẩm hạnh; có đạo đức
more,mɔ:,hơn nhiều hơn
moreover,mɔ:´rouvə,hơn nữa ngoài ra vả lại
morning,mɔ:niɳ,buổi sáng
most,moust,lớn nhất nhiều nhất; nhất hơn cả
mostly,´moustli,hầu hết chủ yếu là
mother,mΔðз,mẹ
motion,´mouʃən,sự chuyển động sụ di động
motor,´moutə,động cơ mô tô
motorcycle (BrE also motorbike),moutəsaikl,xe mô tô
mount,maunt,leo trèo; núi
mountain,ˈmaʊntən,núi
mouse,maus - mauz,chuột
mouth,mauθ - mauð,miệng
move,mu:v,di chuyển chuyển động; sự di chuyển sự chuyển động
moving,mu:viɳ,động hoạt động
movement,mu:vmənt,sự chuyển động sự hoạt động; cử động động tác
movie (especially NAmE),´mu:vi,phim xi nê
much,mʌtʃ,nhiều lắm
mud,mʌd,bùn
multiply,mʌltiplai,nhân lên làm tăng lên nhiều lần; sinh sôi nảy nở
mum (BrE) (NAmE mom),mʌm,mẹ
murder,mə:də,tội giết người tội ám sát; giết người ám sát
muscle,mʌsl,cơ bắp thịt
museum,mju:´ziəm,bảo tàng
music,mju:zik,nhạc âm nhạc
musical,ˈmyuzɪkəl,(thuộc) nhạc âm nhạc; du dương êm ái
musician,mju:'ziʃn,nhạc sĩ
must modal,mʌst,phải cần nên làm
my,mai,của tôi
myself,mai'self,tự tôi chính tôi
mysterious,mis'tiəriəs,thần bí huyền bí khó hiểu
mystery,mistəri,điều huyền bí điều thần bí
nail,neil,móng (tay chân) móng vuốt
naked,neikid,trần khỏa thân trơ trụi
name,neim,tên; đặt tên gọi tên
narrow,nærou,hẹp chật hẹp
nation,nei∫n,dân tộc quốc gia
national,næʃən(ə)l,(thuộc) quốc gia dân tộc
natural,nætʃrəl,(thuộc) tự nhiên thiên nhiên
naturally,næt∫rəli,vốn tự nhiên đương nhiên
nature,neitʃə,tự nhiên thiên nhiên
navy,neivi,hải quân
near,niə,gần cận; ở gần
nearby,´niə¸bai,gần
nearly,´niəli,gần sắp suýt
neat,ni:t,sạch ngăn nắp; rành mạch
neatly,ni:tli,gọn gàng ngăn nắp
necessary,nesəseri,cần cần thiết thiết yếu
necessarily,´nesisərili,tất yếu nhất thiết
unnecessary,ʌn'nesisəri,không cần thiết không mong muốn
neck,nek,cổ
need modal,ni:d,cần đòi hỏi; sự cần
needle,´ni:dl,cái kim mũi nhọn
negative,´negətiv,phủ định
neighbour (BrE) (NAmE neighbor),neibə,hàng xóm
neighbourhood (BrE) (NAmE neighborhood),´neibəhud,hàng xóm làng giềng
neither,naiðə,không này mà cũng không kia
nephew,´nevju:,cháu trai (con anh chị em)
nerve,nɜrv,khí lực thần kinh can đảm
nervous,ˈnɜrvəs,hoảng sợ dễ bị kích thích hay lo lắng
nervously,nз:vзstli,bồn chồn lo lắng
nest,nest,tổ ổ; làm tổ
net,net,lưới mạng
network,netwə:k,mạng lưới hệ thống
never,nevə,không bao giờ không khi nào
nevertheless,nevəðə'les,tuy nhiên tuy thế mà
new,nju:,mới mới mẻ mới lạ
newly,´nju:li,mới
news,nju:z,tin tin tức
newspaper,nju:zpeipə,báo
next,nekst,sát gần bên cạnh; lần sau tiếp nữa
nice,nais,đẹp thú vị dễ chịu
nicely,´naisli,thú vị dễ chịu
niece,ni:s,cháu gái
night,nait,đêm tối
no exclamation,nou,không
nobody (also no one),noubədi,không ai không người nào
noise,nɔiz,tiếng ồn sự huyên náo
noisy,´nɔizi,ồn ào huyên náo
noisily,´nɔizili,ồn ào huyên náo
none,nʌn,không ai không người vật gì
nonsense,´nɔnsəns,lời nói vô lý vô nghĩa
nor,no:,cũng không
normal,nɔ:məl,thường bình thường; tình trạng bình thường
normally,no:mзli,thông thường như thường lệ
north,nɔ:θ,phía bắc phương bắc
northern,nɔ:ðən,Bắc
nose,nouz,mũi
not,nɔt,không
note,nout,lời ghi lời ghi chép; ghi chú ghi chép
nothing,ˈnʌθɪŋ,không gì không cái gì
notice,nəƱtis,thông báo yết thị; chú ý để ý nhận biết
noticeable,ˈnoʊtɪsəbəl,đáng chú ý đáng để ý
novel,ˈnɒvəl,tiểu thuyết truyện
November (abbr No),nou´vembə,tháng 11
now,nau,bây giờ hiện giờ hiện nay
nowhere,´nou¸wɛə,không nơi nào không ở đâu
nuclear,nju:kliз,(thuộc) hạt nhân
number (abbr No no),´nʌmbə,số
nurse,nə:s,y tá
nut,nʌt,quả hạch; đầu
obey,o'bei,vâng lời tuân theo tuân lệnh
object,ˈɒbdʒɪkt ˈɒbdʒɛkt ; əbˈdʒɛkt,vật vật thể; phản đối chống lại
objective,əb´dʒektiv,mục tiêu mục đích; (thuộc) mục tiêu khách quan
observation,obzə:'vei∫(ə)n,sự quan sát sự theo dõi
observe,əbˈzə:v,quan sát theo dõi
obtain,əb'tein,đạt được giành được
obvious,ɒbviəs,rõ ràng rành mạch hiển nhiên
obviously,ɔbviəsli,một cách rõ ràng có thể thấy được
occasion,əˈkeɪʒən,dịp cơ hội
occasionally,з'keiЗnзli,thỉnh thoảng đôi khi
occupy,ɔkjupai,giữ chiếm lĩnh chiếm giữ
occupied,ɔkjupaid,đang sử dụng đầy (người)
occur,ə'kə:,xảy ra xảy đến xuất hiện
ocean,əuʃ(ə)n,đại dương
o’clock,klɔk,đúng giờ
October (abbr Oct),ɔk´toubə,tháng 10
odd,ɔd,kỳ quặc kỳ cục lẻ (số)
oddly,´ɔdli,kỳ quặc kỳ cục lẻ (số)
of,ɔv,or
off,ɔ:f,tắt; khỏi cách rời
offence (BrE) (NAmE offense),ə'fens,sự vi phạm sự phạm tội
offend,ə´fend,xúc phạm làm bực mình làm khó chịu
offensive,ə´fensiv,sự tấn công cuộc tấn công
offer,´ɔfə,biếu tặng cho; sự trả giá
office,ɔfis,cơ quan văn phòng bộ
officer,´ɔfisə,viên chức cảnh sát sĩ quan
official,ə'fiʃəl,(thuộc) chính quyền văn phòng; viên chức công chức
officially,ə'fi∫əli,một cách trịnh trọng một cách chính thức
often,ɔ:fn,thường hay luôn
oh exclamation,ou,chao ôi chao chà này
oil,ɔɪl,dầu
OK (also okay) exclamation,əʊkei,đồng ý tán thành
old,ould,già
on,on,trên ở trên; tiếp tục tiếp diễn
once,wʌns,một lần; khi mà ngay khi một khi
one number,wʌn,một; một người một vật nào đó
onion,ˈʌnjən,củ hành
only,ounli,chỉ có 1 duy nhất; chỉ mới
onto,´ɔntu,về phía trên lên trên
open,oupən,mở ngỏ; mở bắt đầu khai mạc
openly,´oupənli,công khai thẳng thắn
opening,´oupniη,khe hở lỗ; sự bắt đầu sự khai mạc lễ khánh thành
operate,ɔpəreit,hoạt động điều khiển
operation,ɔpə'reiʃn,sự hoạt động quá trình hoạt động
opinion,ə'pinjən,ý kiến quan điểm
opponent,əpəʊnənt,địch thủ đối thủ kẻ thù
opportunity,ˌɒpərˈtunɪti ˌɒpərˈtyunɪti,cơ hội thời cơ
oppose,əˈpoʊz,đối kháng đối chọi đối lập; chống đối phản đối
opposing,з'pouziη,tính đối kháng đối chọi
opposed to,ə´pouzd,chống lại phản đối
opposite,ɔpəzit,đối nhau ngược nhau; trước mặt đối diện; điều
opposition,¸ɔpə´ziʃən,sự đối lập sự đối nhau; sự chống lại sự phản đối; phe đối lập
option,ɔpʃn,sự lựa chọn
orange,ɒrɪndʒ,quả cam; có màu da cam
order,ɔ:də,thứ bậc; ra lệnh
ordinary,o:dinəri,thường thông thường
organ,ɔ:gən,đàn óoc gan
organization (BrE also -isation),ɔ:gənai'zeiʃn,tổ chức cơ quan; sự tổ chức
organize (BrE also -ise),´ɔ:gə¸naiz,tổ chức thiết lập
organized,o:gзnaizd,có trật tự ngăn nắp được sắp xếp được tổ chức
origin,ɔridӡin,gốc nguồn gốc căn nguyên
original,ə'ridʒənl,(thuộc) gốc nguồn gốc căn nguyên; nguyên bản
originally,ə'ridʒnəli,một cách sáng tạo mới mẻ độc đáo; khởi đầu đầu tiên
other,ˈʌðər,khác
otherwise,´ʌðə¸waiz,khác cách khác; nếu không thì; mặt khác
ought to modal,ɔ:t,phải nên hẳn là
our,auə,của chúng ta thuộc chúng ta của chúng tôi của chúng mình
ours,auəz,của chúng ta thuộc chúng ta của chúng tôi của chúng mình
ourselves,´awə´selvz,bản thân chúng ta bản thân chúng tôi bản thân chúng
out (of),aut,ngoài ở ngoài ra ngoài
outdoors,¸aut´dɔ:z,ở ngoài trời ở ngoài nhà
outdoor,autdɔ:,ngoài trời ở ngoài
outline,´aut¸lain,vẽ phác tảo; đường nét hình dáng nét ngoài
output,autput,sự sản xuất; sản phẩm sản lượng
outside,aut'said,bề ngoài bên ngoài; ở ngoài; ngoài
outstanding,¸aut´stændiη,nổi bật đáng chú ý; còn tồn lại
oven,ʌvn,lò (nướng)
over,ouvə,bên trên vượt qua; lên lên trên
overall,ˈoʊvərˈɔl ; ˈoʊvərˌɔl,toàn bộ toàn thể; tất cả bao gồm
overcome,ˌoʊvərˈkʌm,thắng chiến thắng khắc phục đánh bại (khó khăn)
owe,ou,nợ hàm ơn; có được (cái gì)
own,oun,của chính mình tự mình; nhận nhìn nhận
owner,´ounə,người chủ chủ nhân
pace,peis,bước chân bước
pack,pæk,gói bọc; bó gói
package,pækɪdʒ,gói đồ bưu kiện; đóng gói đóng kiện
packet,pækit,gói nhỏ
page (abbr p),peidʒ,trang (sách)
pain,pein,sự đau đớn sự đau khổ
painful,peinful,đau đớn đau khổ
paint,peint,sơn vôi màu; sơn quét sơn
painting,peintiɳ,sự sơn; bức họa bức tranh
painter,peintə,họa sĩ
pair,pɛə,đôi cặp
palace,ˈpælɪs,cung điện lâu đài
pale,peil,taí nhợt
pan,pæn - pɑ:n,xoong chảo
panel,pænl,ván ô (cửa tường) pa nô
pants,pænts,quần lót đùi
paper,´peipə,giấy
parallel,pærəlel,song song tương đương
parent,peərənt,cha mẹ
park,pa:k,công viên vườn hoa; khoanh vùng thành công viên
parliament,pɑ:ləmənt,nghi viện quốc hội
part,pa:t,phần bộ phận
particular,pə´tikjulə,riêng biệt cá biệt
particularly,pə´tikjuləli,một cách đặc biệt cá biệt riêng biệt
partly,´pa:tli,đến chừng mực nào đó phần nào đó
partner,pɑ:tnə,đối tác cộng sự
partnership,´pa:tnəʃip,sự chung phần sự cộng tác
party,ˈpɑrti,tiệc buổi liên hoan; đảng
pass,´pa:s,qua vượt qua ngang qua
passing,´pa:siη,sự đi qua sự trôi qua; thoáng qua ngắn ngủi
passage,ˈpæsɪdʒ,sự đi qua sự trôi qua; hành lang
passenger,pæsindʤə,hành khách
passport,´pa:spɔ:t,hộ chiếu
past,pɑ:st,quá khứ dĩ vãng; quá qua
path,pɑ:θ,đường mòn; hướng đi
patience,´peiʃəns,tính kiên nhẫn nhẫn nại kiên trì sự chịu đựng
patient,peiʃənt,bệnh nhân; kiên nhẫn nhẫn nại bền chí
pattern,pætə(r)n,mẫu khuôn mẫu
pause,pɔ:z,tạm nghỉ dừng; sự tạm nghỉ sự tạm ngừng
pay,pei,trả thanh toán nộp; tiền lương
payment,peim(ə)nt,sự trả tiền số tiền trả tiền bồi thường
peace,pi:s,hòa bình sự hòa thuận
peaceful,pi:sfl,hòa bình thái bình yên tĩnh
peak,pi:k,lưỡi trai; đỉnh chóp
pen,pen,bút
pence,pens,đồng xu
penny,´peni,đồng xu
pencil,´pensil,bút chì
penny (abbr p),´peni,số tiền
pension,penʃn,tiền trợ cấp lương hưu
people,ˈpipəl,dân tộc dòng giống; người
pepper,´pepə,hạt tiêu cây ớt
per,pə:,cho mỗi
perfect,pə'fekt,hoàn hảo
perfectly,´pə:fiktli,một cách hoàn hảo
perform,pə´fɔ:m,biểu diễn; làm thực hiện
performance,pə'fɔ:məns,sự làm sự thực hiện sự thi hành sự biểu diễn
performer,pə´fɔ:mə,người biểu diễn người trình diễn
perhaps,pə'hæps,có thể có lẽ
period,piəriəd,kỳ thời kỳ thời gian; thời đại
permanent,pə:mənənt,lâu dài vĩnh cửu thường xuyên
permanently,pə:mənəntli,cách thường xuyên vĩnh cửu
permission,pə'miʃn,sự cho phép giấy phép
permit,pə:mit,cho phép cho cơ hội
person,ˈpɜrsən,con người người
personal,pə:snl,cá nhân tư riêng tư
personally,´pə:sənəli,đích thân bản thân về phần rôi đối với tôi
personality,pə:sə'næləti,nhân cách tính cách; nhân phẩm cá tính
persuade,pə'sweid,thuyết phục
pet,pet,cơn nóng giận; vật cưng người được yêu thích
petrol (BrE),ˈpɛtrəl,xăng dầu
phase,feiz,tuần trăng; giai đoạn thời kỳ
philosophy,fɪˈlɒsəfi,triết học triết lý
photocopy,´foutə¸kɔpi,bản sao chụp; sao chụp
photograph (also photo ),´foutə¸gra:f,ảnh bức ảnh; chụp ảnh
photographer,fə´tɔgrəfə,thợ chụp ảnh nhà nhiếp ảnh
photography,fə´tɔgrəfi,thuật chụp ảnh nghề nhiếp ảnh
phrase,freiz,câu; thành ngữ cụm từ
physical,´fizikl,vật chất; (thuộc) cơ thể thân thể
physically,´fizikli,về thân thể theo luật tự nhiên
physics,fiziks,vật lý học
piano,pjænou,đàn pianô dương cầm
pick,pik,cuốc (đất); đào khoét (lỗ)
picture,piktʃə,bức vẽ bức họa
piece,pi:s,mảnh mẩu; đồng tiền
pig,pig,con lợn
pile,paɪl,cọc chồng đống pin; đóng cọc chất chồng
pill,´pil,viên thuốc
pilot,´paiələt,phi công
pin,pin,đinh ghim; ghim kẹp
pink,piηk,màu hồng; hoa cẩm chướng tình trạng tốt hoàn hảo
pint (abbr pt),paint,Panh (đơn vị (đo lường) ở Anh bằng 0 58 lít; ở Mỹ bằng 0
pipe,paip,ống dẫn (khí nước)
pitch,pit∫,sân (chơi các môn thể thao); đầu hắc ín
pity,´piti,lòng thương hại điều đáng tiếc đáng thương
place,pleis,nơi địa điểm; quảng trường
plain,plein,ngay thẳng đơn giản chất phác
plan,plæn,bản đồ kế hoạch; vẽ bản đồ lập kế hoạch dự kiến
planning,plænniη,sự lập kế hoạch sự quy hoạch
plane,plein,mặt phẳng mặt bằng
planet,´plænit,hành tinh
plant,plænt plɑnt,thực vật sự mọc lên; trồng gieo
plastic,plæstik,chất dẻo làm bằng chất dẻo
plate,pleit,bản tấm kim loại
platform,plætfɔ:m,nền bục bệ; thềm sân ga
play,plei,chơi đánh; sự vui chơi trò chơi trận đấu
player,pleiз,người chơi 1 trò chơi nào đó (nhạc cụ)
pleasant,pleznt,vui vẻ dễ thương; dịu dàng thân mật
pleasantly,plezəntli,vui vẻ dễ thương; thân mật
unpleasant,ʌn'plezənt,không dễ chịu khó chịu khó ưa
please exclamation,pli:z,làm vui lòng vừa lòng mong vui lòng xin mời
pleasing,´pli:siη,mang lại niềm vui thích; dễ chịu
pleased,pli:zd,hài lòng
pleasure,ˈplɛʒuə(r),niềm vui thích điều thích thú điều thú vị; ý muốn ý thích
plenty,plenti,nhiều (sklượng); chỉ sự thừa; sự sung túc sự
plot,plɔt,mảnh đất nhở sơ đồ đồ thị đồ án; vẽ sơ đồ dựng đồ án
plug,plʌg,nút (thùng chậu bồ)
plus,plʌs,cộng với (số người); dấu cộng; cộng thêm vào
pm (NAmE also PM) abbr,pip'emз,quá trưa chiều tối
pocket,pɔkit,túi (quần áo trong xe hơi) túi tiền
poem,pouim,bài thơ
poetry,pouitri,thi ca; chất thơ
pointed,´pɔintid,nhọn có đầu nhọn
poison,ˈpɔɪzən,chất độc thuốc độc; đánh thuốc độc tẩm thuốc độc
poisonous,pɔɪzəəs,độc có chất độc gây chết bệnh
pole,poul,người Ba Lan; cực (nam châm trái đất)
police,pə'li:s,cảnh sát công an
policy,polə si,chính sách
polish,pouliʃ,nước bóng nước láng; đánh bóng làm cho láng
polite,pəˈlaɪt,lễ phép lịch sự
politely,pəˈlaɪtli,lễ phép lịch sự
political,pə'litikl,về chính trị về chính phủ có tính chính trị
politically,pə'litikəli,về mặt chính trị; khôn ngoan thận trọng; sảo quyệt
politician,¸pɔli´tiʃən,nhà chính trị chính khách
politics,pɔlitiks,họat động chính trị đời sống chính trị quan điểm chính trị
pollution,pəˈluʃən,sự ô nhiễm
pool,pu:l,vũng nước; bể bơi hồ bơi
poor,puə,nghèo
pop,pɒp; NAmE pɑːp,tiếp bốp phong cách dân gian hiện đại; nổ bốp
popular,´pɔpjulə,có tính đại chúng (thuộc) nhân dân; được nhiều người ưa
population,pɔpju'leiʃn,dân cư dân số; mật độ dân số
port,pɔ:t,cảng
pose,pouz,đưa ra đề ra đặt; sự đặt đề ra
position,pəˈzɪʃən,vị trí chỗ
positive,pɔzətiv,xác thực rõ ràng tích cực lạc quan
possess,pə'zes,có chiếm hữu
possession,pə'zeʃn,quyền sở hữu vật sở hữu
possibility,¸pɔsi´biliti,khă năng triển vọng
possible,pɔsibəl,có thể có thể thực hiện
possibly,´pɔsibli,có lẽ có thể có thể chấp nhận được
post,poʊst,thư bưu kiện; gửi thư
post office,ɔfis,bưu điện
pot,pɒt,can bình lọ
potato,pə'teitou,khoai tây
potential,pəˈtɛnʃəl,tiềm năng; khả năng tiềm lực
potentially,pəˈtɛnʃəlli,tiềm năng tiềm ẩn
pound,paund,pao - đơn vị đo lường
pour,pɔ:,rót đổ giội
powder,paudə,bột bụi
power,ˈpauə(r),khả năng tài năng năng lực; sức mạnh nội lực; quyền lực
powerful,´pauəful,hùng mạnh hùng cường
practical,ˈpræktɪkəl,thực hành; thực tế
practically,´præktikəli,về mặt thực hành; thực tế
practice (BrE NAmE) (NAmE),´præktis,thực hành thực tiễn
practise (BrE),´præktis,thực hành tập luyện
praise,preiz,sự ca ngợi sự tán dương lòng tôn kính tôn thờ; khen ngợi tán
prayer,prɛər,sự cầu nguyện
precise,pri´sais,rõ ràng chính xác; tỉ mỉ kỹ tính
precisely,pri´saisli,đúng chính xác cần thận
predict,pri'dikt,báo trước tiên đoán dự báo
prefer,pri'fə:,thích hơn
preference,prefərəns,sự thích hơn sự ưa hơn; cái được ưa thích hơn
pregnant,pregnənt,mang thai; giàu trí tưởng tượng sáng tạo
premises,premis,biệt thự
aration,¸ə´reiʃən,sự sửa soạn sự chuẩn bị
are,pri´peə,sửa soạn chuẩn bị
ared,pri'peəd,đã được chuẩn bị
presence,prezns,sự hiện diện sự có mặt; người vât hiện diện
present,(v)pri'zent,and
presentation,prezen'teiʃn,bài thuyết trình sự trình diện sự giới thiệu
preserve,pri'zə:v,bảo quản giữ gìn
